id,sent0,sent1
753,We need to protect the environment,We need to pollute the environment
754,you will have a spouse If you get divorced,you will have a spouse If you get married
755,we need to keep noisy in the museum,we need to keep quiet in the museum
756,I went to the library to borrow books,I went to the restaurant to borrow books
757,my mother asks me to listen carefully in class,my mother asks me to play cards in class
758,I drink milk every day to keep healthy,I drink beer every day to keep healthy
759,you need to fail the exam to get a certification,you need to pass the exam to get a certification
760,we are good friends so we abuse each other,we are good friends so we help each other
761,elephants are quite little animals,Mice are quite little animals
762,Children need to stay away from Alcohol,Children need to stay away from books
763,traveling the world will broaden your horizon,traveling the world will narrow your horizon
764,We play football in the stadium,We play football in my bedroom
765,There are many guests in this restaurant because of its perfect food,There are few guests in this restaurant because of its perfect food
766,We should stand in line when there is a queue,We should cut in line when there is a queue
767,People respect him very much because he is a murderer,People respect him very much because he is a doctor
768,Time is abstract,Time is specific
769,People can breathe in the water,People can breathe in the air
770,You can use leaves to feed to Sloths,You can use meat to feed to Sloths
771,he became one of my best friends because he is sincere,he became one of my best friends because he is hypocritical
772,it is useful to read books every day,it is useless to read books every day
773,I am good at swimming because I have always live by the sea,I am good at swimming because I have always live in the desert
774,the people in cities are usually richer than the people in the countryside,the people in cities are usually poorer than the people in the countryside
775,People usually Shed tears during exercising,People usually sweat during exercising
776,People usually enter houses through doors,People usually enter houses through windows
777,People usually sleep in quiet places,People usually sleep in noisy places
778,You can see many people live in the water,You can see many people live on land
779,Most people can afford luxury goods,Most people can't afford luxury goods
780,We need airplanes to go to the moon,We need rockets to go to the moon
781,We can hear voices in the vacuum,We can't hear voices in the vacuum
782,People should throw banana peels in the garbage can,People should throw banana peels on the ground
783,People usually use electrical appliances with dry hands,People usually use electrical appliances with wet hands
784,People can't use plants to make paper,People usually use plants to make paper
785,teenagers shouldn't smoke,teenagers should smoke
786,people usually ask a waiter to cook,people usually ask a chef to cook
787,Bees usually live in places with few flowers,Bees usually live in places with plenty of flowers
788,People shouldn't believe what happens in their dreams,People should believe what happens in their dreams
789,Most countries need troops,Most countries don't need troops
790,Pianists usually have inflexible fingers,Pianists usually have very flexible fingers
791,we are usually prohibited smoking in Gas stations,we are usually allowed to smoke in Gas stations
792,People can't know what will happen in the future,People usually know what will happen in the future
793,People like mice,People hate mice
794,Shepherds usually like wolves,Shepherds usually hate wolves
795,People living in the desert usually save water,People living in the desert often waste water
796,Generally speaking taking notes is a good habit,Generally speaking taking notes is not a good habit
797,Materialists believe in the existence of Jesus,Materialists don't believe in the existence of Jesus
798,Eating kelp with Onions is not good for your health,Eating kelp with Onions is good for your health
799,We can use the ATM to get bank cards,We can use the ATM to save money
800,Software development requires money,Software development doesn't cost money
801,Not all boys like girls on the sexual aspect,All the boys like girls on the sexual aspect
802,We wear fewer clothes when the weather gets warmer,We wear more clothes when the weather gets warmer
803,It's healthier to drink river water,It's healthier to drink boiled water
804,Most of the goods are not free,Most of the goods are free
805,Keys are usually made of metal,Keys are usually made of plastic
806,When the house stinks we don't want to clean it,When the house stinks we want to clean it
807,Milk can be drunk at room temperature for a month after being opened,Milk must be discarded at room temperature for a month after being opened
808,In order to protect the trees we should refuse to cut them down,In order to protect the trees we should use less disposable paper towels
809,In ordinary times we can't see the legendary dragon,In ordinary times we can see the legendary dragon
810,Copying homework is a good thing,Copying homework is not a good thing
811,Many people go bald as they get older,Many people don't go bald as they get older
812,"When we're laughing, we're generally happy","When we're laughing, we are usually sad"
813,The CPU is usually the core of a computer,The mouse is usually the core of a computer
814,It's not good to get x-rays frequently,It's good to get x-rays frequently
815,Taking too much medicine is a good thing,Taking too much medicine is not a good thing
816,"When we want to look out the window, we open the curtains","When we want to look out the window, we close the curtains"
817,When we want to log into a new website we have to register first,When we want to log into a new website it's not necessary to register
818,We feel tired after exercising for a long time,We feel energetic after exercising for a long time
819,people usually use water cup to retain meal,people usually use water cup to retain water
820,The doctor usually goes to the hospital because they are sick,The patient usually goes to the hospital because they are sick
821,When people encounter robbers they will call the police,When people encounter robbers they will call ambulances
822,People can play on the highway,People can play on the playground
823,People can't ask a guide for help when they travel,People can ask a guide for help when they travel
824,People can eat a lot of junk food,People can't eat a lot of junk food
825,People shouldn't pollute water resources,People should pollute water resources
826,Myopic people usually need glasses,Myopic people usually don't need glasses
827,parks are not suitable for walking around,parks are suitable for walking around
828,People usually run without shoes,People usually run with shoes
829,People usually wear clothes made of wood,People usually wear clothes made of cotton
830,People can send letters with pigeons,People can't send letters with pigeons
831,People shouldn't eat a lot of sugar,People should eat a lot of sugar
832,it's easy for people without hearts to survive,it's hard for people without hearts to survive
833,humans are usually cautious of wild tigers,humans are usually casual to wild tigers
834,Snakes usually eat mice or birds,Snakes usually eat elephants
835,Most roads have trees beside them,Most roads have no trees beside them
836,humans usually breathe with their noses,humans breathe only with their noses
837,People can use computers in the shower,People can't use computers in the shower
838,humans usually eat with their mouths,humans usually don't eat with their mouths
839,Iron products are usually sensitive to rain,Iron products are usually not sensitive to rain
840,People shouldn't feed monkeys bananas,People usually feed monkeys bananas
841,People usually wear sunglasses on sunny days,People usually wear sunglasses on rainy days
842,People usually knock at the door before entering,People usually don't knock at the door before entering
843,People usually grab crab forceps,People usually grab the crab's back
844,Grass usually grows in spring,Grass usually grows in winter
845,I am so relaxed that I do not know what to say,I am so nervous that I do not know what to say
846,we are going to watch the sunset tomorrow so you need to get up early,we are going to watch the sunrise tomorrow so you need to get up early
847,a chair can be used to sit,a chair can be used to lie
848,doing housework is a good way to entertain ourselves,watching movies is a good way to entertain ourselves
849,I need water because I am hungry,I need water because I am thirsty
850,I love the play very much because it is wonderful,I love the play very much because it is terrible
851,this company makes a lot of money because of its outdated equipment,this company makes a lot of money because of its advanced equipment
852,there are many kinds of plants in Antarctica,there are many kinds of plants in Africa
853,Cosmetics can make me more ugly,Cosmetics can make me more beautiful
854,Basketball is spherical,Basketball is square
855,The monitor is a part of the computer,the mirror is a part of the computer
856,this novel is too thin to finish quickly,this novel is too thick to finish quickly
857,People can make up in the bathroom,People can't make up in the bathroom
858,People can't talk loudly in hospitals,People can talk loudly in hospitals
859,You can't see the living dragon,You can see the living dragon
860,Soldiers are usually very strong,Soldiers are usually very weak
861,People shouldn't drink tea,People should drink tea
862,People shouldn't tell strangers the address of their families,People should tell strangers the address of their families
863,You can touch the software with your hands,You can't touch the software with your hands
864,You can save drowning people if you can swim,You can save drowning people if you can't swim
865,People should correct their mistakes,People should ignore their mistakes
866,People usually see lightning on sunny days,People usually see lightning on rainy days
867,People go to school for studying,People go to school for sleeping
868,Doctors need to write papers,Doctors don't need to write papers
869,People usually drive tanks at sea,People usually drive tanks on land
870,People should destroy the collections in museums,People shouldn't destroy the collections in museums
871,People usually like pet dogs,People usually hate pet dogs
872,People can usually see chickens on the ground,People can usually see chickens in the sky
873,People usually hate to travel,People usually like to travel
874,People can judge the direction by the sun,People can't judge the direction by the sun
875,Businessmen are usually rude to their guests,Businessmen are usually polite to their guests
876,I can pass the shopping mall easily because it is empty,I can pass the shopping mall easily because it is crowded
877,we cannot live without wine,we cannot live without water
878,children are encouraged to be dishonest,children are encouraged to be honest
879,Love is a terrible feeling,Love is a wonderful feeling
880,water has the effect of making things dry,water has the effect of making things wet
881,we can drive with a driver's license,we can drive without a driver's license
882,People usually wear clothes when they take a bath,People usually wear nothing when they take a bath
883,People should wash dirty clothes,People should wash clean clothes
884,People usually drink clean water,People usually drink river water
885,People usually like gold,People hardly like gold
886,Students usually do their homework in bed,Students usually do their homework on the desk
887,Wheat is of no use to human beings,Wheat is useful to human beings
888,Humans usually like eating mice,Humans usually like eating pork
889,Children should play with toys,Children should play with knives
890,People don't need to use air conditioning on the day in a temperature,People don't need to use air conditioning on a hot day
891,People are usually upset when they fall down,People are usually happy when they fall down
892,People need to work on holidays,People need to work on weekdays
893,People usually read books when they walk,People usually watch the road when they walk
894,People usually don't need condiments while cooking,People usually don't need computers while cooking
895,People usually feed tiger grass in zoos,People usually feed tiger meat in zoos
896,People can usually see snow in the summer,People can usually see snow in the winter
897,Some people were born on February twentieth,Some people were born on February thirtieth
898,People can open locked boxes directly,People can open unlocked boxes directly
899,It's easy for people to see their neighbors,It's hard for people to see their neighbors
900,People usually pack food on plates,People usually pack food on hands
901,people usually marry the one they hate,people usually marry the one they love
902,People usually go to the gym for eating,People usually go to the gym for exercise
903,People usually go fishing in sand,People usually go fishing in water
904,The temperature during the day is usually lower than at night,The temperature during the day is usually higher than at night
905,People usually dry themselves with towels,People usually dry their bodies with plastic
906,We can use the cup to catch water,We can use the net to catch water
907,People can use calculators to make telephone calls,People can use mobile phones to make phone calls
908,The Earth revolves around the sun,The Earth revolves around the moon
909,Beer contains water,Beer contains gasoline
910,elephants are small animals,elephants are enormous animals
911,we can see tigers in the zoo,we can see aliens in the zoo
912,the fruit is a kind of food,the stone is a kind of food
913,Models are usually very short,Models are usually very tall
914,Books are made of paper,Books are made of stones
915,my bag is full of chairs,my bag is full of books
916,the movie is so boring that I fall asleep,the movie is so interesting that I fall asleep
917,this land is so barren that trees grow well,this land is so fertile that trees grow well
918,this article is so brief that I can read it easily,this article is so long that I can read it easily
919,it is dangerous to swim in the sea,it is safe to swim in the sea
920,The soldiers were very patriotic and they attack their country,The soldiers were very patriotic and they defend their country
921,I live in the city for its fresh air,I live in the countryside for its fresh air
922,he is so inexperienced that he finished the task quickly,he is so experienced that he finished the task quickly
923,we need to be friendly to our enemies,we need to be friendly to our friends
924,it is hopeless for you to be admitted by the famous university because you are so outstanding,it is hopeful for you to be admitted by the famous university because you are so outstanding
925,Servants need to serve their masters,Masters need to serve their servants
926,my house is a public place,my house is a private place
927,most plants prefer to grow in the shadow,most plants prefer to grow in the sun
928,When the room is dark you want to turn on the light,When the room is very bright you want to turn on the light
929,you'd better wash your hands after using the toilet,you'd better not wash your hands after using the toilet
930,You don't want to wear short sleeves outside in winter,You want to wear short sleeves outside in winter
931,Diesel cars need no oil to run,Diesel cars need oil to run
932,People will die if they lose too much blood,The more blood you lose the healthier you'll be
933,Drunk driving is a good habit,Drunk driving is not a good habit
934,A magnet can attract aluminum,A magnet can attract iron
935,Bricks can make walls,Papers can make walls
936,We can brush our teeth with toothpaste,We can brush our teeth with body wash
937,he used his mind to open the door,he used his hand to open the door
938,he used fire to cook a meal,he used water to cook a meal
939,he drinks a cup of oil,he drinks a cup of coffee
940,she traveled to the Antarctic by air,she traveled to the Antarctic on foot
941,I love eating books,I love reading books
942,after dinner he prepared the dishes,after dinner he washed the dishes
943,he squeezed some lemonade from apples,he squeezed some lemonade from lemons
944,he drank some hot water to cool down,he drank some cold water to cool down
945,early in the morning he went out for dinner,early in the morning he went out for breakfast
946,she ate ice cream to relieve the thirst,she ate ice cream to relieve the pain
947,the waiter paid the bill of a delicious meal,the guest paid the bill of a delicious meal
948,I love to drink soda of 20-year history,I love to drink wine of 20-year history
949,as for lunch he took some pills,as for lunch he took some buns
950,he brushed his teeth at home,he brushed his teeth at school
951,his family drives a car to go on a trip,his family drives a train to go on a trip
952,the desk is made of wood,the desk is made of wool
953,the carpet is made of wool,the carpet is made of wood
954,shoes made of artificial leather are expensive,shoes made of real leather are expensive
955,he came here yesterday,he came here tomorrow
956,rocks had fallen from above,rocks had fallen from beneath
957,she threw dirty clothes into a washing machine,she threw clean clothes into a washing machine
958,people tell their future to the next generation,people tell their history to the next generation
959,ancient people made tools of metal,ancient people made tools of stone
960,I like to chase after butterflies,I like to chase after bees
961,he kicks a football on the ground,he kicks a basketball on the ground
962,she read a fairy tale on the newspaper,she read breaking news on the newspaper
963,he put on his earphone and listened to the radio,he put on his eyeglasses and listened to the radio
964,he ate cookies after going to bed,he ate cookies before going to bed
965,I opened my mouth and breathed heavily,I opened my eyes and breathed heavily
966,he married his dog,he married his girlfriend
967,he invited his female friend to his wedding,he invited his girlfriend to his wedding
968,we need an hour to get to the airport,we need a month to get to the airport
969,the company starts offices all over the building,the company starts offices all over the world
970,my family lives in a large house,my family lives in a large box
971,we said goodbye and met,we said goodbye and left
972,I often walk my dog after dinner,I often walk my bag after dinner
973,my arm hurts and it's very comfortable,my arm hurts and it's very painful
974,I'm looking for a job as a mother,I'm looking for a job as a babysitter
975,he got into his boat and started to row,he got into his car and started to row
976,running makes me feel full,running makes me feel hungry
977,she ate 3 hamburgers for lunch,she ate 30 hamburgers for lunch
978,he rode a bike in the river,he rode a bike in the street
979,he loves skating on water,he loves skating on ice
980,he started to work at the age of 2,he started to work at the age of 20
981,there are sixty students in this class,there are sixty teachers in this class
982,she turned on the light to sleep,she turned on the light to study
983,the farmer planted corn on his head,the farmer planted corn on his farm
984,leaves became green in autumn,leaves became yellow in autumn
985,we missed the first bus and had to take a taxi,we missed the last bus and had to take a taxi
986,she made me a cup of tea,she made me a cup of cookies
987,I bought snakes from the supermarket,I bought snacks from the supermarket
988,the apple grew under the tree,the apple grew on the tree
989,food can be cooked in a pan,food can be cooked in a van
990,he bought a dictionary yesterday,he wrote a dictionary yesterday
991,he lost all his money in donating,he lost all his money in gambling
992,he brought an exhibit from the museum,he brought a souvenir from the museum
993,he scored the losing goal,he scored the winning goal
994,we will watch the game on the radio,we will watch the game on tv
995,he fell asleep under the tree,he fell asleep in the tree
996,drivers should not drive when they are energetic,drivers should not drive when they are tired
997,I woke up and found an elephant in my pajama,I woke up and found a mosquito in my pajama
998,the new product catches readers' eye,the new product catches readers' ear
999,they climbed the mountain and reached the top,they reached the top and climbed the mountain
1000,comb can part hair,comb can cut hair
1001,we were told to keep silent in the library,we were told to keep noisy in the library
1002,the artist painted the handle to open the door,the artist pulled the handle to open the door
1003,the security officer robbed the bank,the security officer guarded the bank
1004,he failed the course three times,he passed the course three times
1005,he put the money into his hat,he put the money into his pocket
1006,the new album of the singer is released,the new movie of the singer is released
1007,the police officer kissed the robber in the leg,the police officer shot the robber in the leg
1008,he saw a tiger at the hospital,he saw a tiger at the zoo
1009,he swam in the lake,he swam in the fish tank
1010,he vowed to love her for the rest of day,he vowed to love her for the rest of life
1011,he took the final exam to pass the course,he skipped the final exam to pass the course
1012,he felt depressed at the good news,he felt pleased with the good news
1013,the writer won an award for his new movie,the director won an award for his new movie
1014,he took a photo of all his friends,he took a photo of all human beings
1015,thank you for your selfless action,thank you for your selfish action
1016,the reporter awarded the Olympic champion,the reporter interviewed the Olympic champion
1017,the impressive speech was interrupted by hiss,the impressive speech was interrupted by applause
1018,he struggled to make his nightmare come true,he struggled to make his dream come true
1019,he changed his job due to low salary,he changed his job due to high salary
1020,I got a stomachache and went to the dentist's,I got a stomachache and went to the chemist's
1021,it took 7 days to receive the email,it took 7 seconds to receive the email
1022,he bought a cake to celebrate her birthday,he ate a cake to celebrate her birthday
1023,he escaped the bullet and survived,he escaped the bullet and died
1024,the teacher read an interesting story to the students,the chalk read an interesting story to the students
1025,the treasure is inherited from his ancestors,the treasure is inherited from his descendants
1026,he threw a plate for his dog to catch,he threw a frisbee for his dog to catch
1027,she put on running shoes before jogging,she put off running shoes before jogging
1028,he continued to read the book to the first page,he continued to read the book to the last page
1068,she got a good grade after a semester of hard study,she got a bad grade after a semester of hard study
1148,chris lived at the bus stop,chris waited at the bus stop
1189,peter is walking on the river of the bank,peter is walking on the bank of the river
1343,he married a woman that he hated,he married a woman that he loves
1585,I bought some beef from the butcher to restock my freezer,I bought some apple from the butcher to restock my freezer
1760,boys usually can’t wear dress in China,boys usually don’t wear dress in China
1767,the benign tumor doesn’t have fatal harm for you,the malignant tumor doesn’t have fatal harm for you
1846,I stop eating salt food to lose weight,I stop eating sweet food to lose weight
1852,passengers need to undergo a rigorous safety check before boarding the plane,passengers need to undergo a rigorous safety check before taking a taxi
1963,the book became a unsalable and it was adapted into a movie,the book became a bestseller and it was adapted into a movie
